sample_name,bodysite,sample_group
asug_sample10,airways,asug
asug_sample11,airways,asug
asug_sample12,airways,asug
asug_sample23,airways,asug
asug_sample26,airways,asug
asug_sample27,airways,asug
asug_sample4,airways,asug
asug_sample7,airways,asug
asug_sample8,airways,asug
asug_sample9,airways,asug
go_sample0,gastro,go
go_sample1,gastro,go
go_sample10,gastro,go
go_sample11,gastro,go
go_sample12,gastro,go
go_sample2,gastro,go
go_sample3,gastro,go
go_sample4,gastro,go
go_sample5,gastro,go
go_sample9,gastro,go
go_sample13,oral,go
go_sample14,oral,go
go_sample15,oral,go
go_sample16,oral,go
go_sample17,oral,go
go_sample18,oral,go
go_sample19,oral,go
go_sample6,oral,go
go_sample7,oral,go
go_sample8,oral,go
asug_sample1,skin,asug
asug_sample13,skin,asug
asug_sample14,skin,asug
asug_sample15,skin,asug
asug_sample16,skin,asug
asug_sample17,skin,asug
asug_sample18,skin,asug
asug_sample19,skin,asug
asug_sample20,skin,asug
asug_sample28,skin,asug
asug_sample0,uro,asug
asug_sample2,uro,asug
asug_sample21,uro,asug
asug_sample22,uro,asug
asug_sample24,uro,asug
asug_sample25,uro,asug
asug_sample3,uro,asug
asug_sample5,uro,asug
asug_sample6,uro,asug
