Sample	N50 (Kbp)	L50 (K)	Largest contig (Kbp)	Length (Mbp)	Misassemblies	Mismatches/100kbp	Indels/100kbp	ANI	Genome Fraction
asug_sample0	3.2760000000000002	2.766	1592.704	104.668128	444.0	1944.41	23.74	98.03185	4.839
asug_sample1	0.727	43.766	715.042	146.400495	1272.0	5806.8	87.23	94.10597	14.172
asug_sample10	0.804	16.565	413.77	122.364032	1552.0	5606.58	98.49	94.29493	14.79
asug_sample11	1.3880000000000001	15.609	366.663	127.77562999999999	721.0	2339.53	45.53	97.61494	10.049
asug_sample12	0.465	40.730000000000004	411.867	96.575812	1303.0	6224.37	81.81	93.69382	11.21
asug_sample13	1.0130000000000001	4.674	512.823	51.367982	281.0	7303.37	133.81	92.56282	8.738
asug_sample14	10.173	1.7590000000000001	712.366	85.281883	53.0	1749.83	61.65	98.18852	9.025
asug_sample15	0.897	11.644	529.361	66.770363	308.0	6908.74	133.71	92.95755	11.203
asug_sample16	40.958	0.148	565.09	26.311056999999998	15.0	2580.03	114.71	97.30526	4.955
asug_sample17	1.099	26.163	550.1610000000001	158.096832	712.0	2682.71	45.12	97.27217	11.765
asug_sample18	3.039	3.9170000000000003	605.471	75.854592	120.0	4270.48	127.32	95.6022	10.631
asug_sample19	0.804	65.357	564.44	272.840863	1952.0	3882.2	61.09	96.05671	23.185
asug_sample2	7.236	1.34	482.926	73.947475	98.0	6039.26	102.62	93.85812	9.53
asug_sample20	0.728	48.24	405.408	218.916471	1914.0	4390.12	67.91	95.54197	19.73
asug_sample21	1.458	9.185	1214.921	122.167355	858.0	2947.93	31.89	97.02018	6.686
asug_sample22	18.732	0.604	551.269	54.860730999999994	20.0	1585.72	49.72	98.36456	4.131
asug_sample23	1.308	5.048	1027.809	72.096413	335.0	6039.98	88.05	93.87197	9.33
asug_sample24	5.436	1.6380000000000001	431.528	62.338043	81.0	1947.1	45.95	98.00695	4.663
asug_sample25	3.7	5.0680000000000005	780.547	140.318084	441.0	1310.97	20.95	98.66808	6.629
asug_sample26	1.049	9.759	437.844	111.371482	1389.0	4494.34	81.72	95.42394	12.369
asug_sample27	0.785	55.914	386.045	255.112169	1907.0	3475.43	54.34	96.47023	20.718
asug_sample28	63.933	0.112	1029.481	38.260752	8.0	4120.47	112.48	95.76705	7.152
asug_sample3	1.1420000000000001	12.631	426.843	109.573926	380.0	2738.07	28.67	97.23326	6.206
asug_sample4	0.54	84.577	301.156	225.27826499999998	3596.0	4897.77	74.39	95.02784	21.33
asug_sample5	17.318	0.625	746.1320000000001	78.035935	60.0	1442.62	44.07	98.51331	5.155
asug_sample6	90.81700000000001	0.085	913.8770000000001	33.904568999999995	9.0	233.66	7.7	99.75864	1.292
asug_sample7	0.47900000000000004	59.61	482.74600000000004	151.22546699999998	2360.0	4972.82	73.72	94.95346	15.674
asug_sample8	0.64	21.351	892.009	104.722139	1009.0	4587.63	68.52	95.34385	12.303
asug_sample9	0.426	68.504	843.1220000000001	152.532656	4687.0	6076.25	75.11	93.84864	14.256
go_sample0	1.635	7.025	916.452	117.70718799999999	285.0	1623.44	20.21	98.35635	11.395
go_sample1	2.14	9.381	695.701	159.57898799999998	556.0	1629.06	20.98	98.34996	13.455
go_sample10	5.59	3.831	947.0360000000001	154.241941	161.0	727.99	14.91	99.2571	13.324
go_sample11	1.114	22.283	633.916	175.585512	1260.0	3020.52	23.08	96.9564	11.92
go_sample12	19.846	0.769	781.272	110.430577	59.0	597.11	15.44	99.38745	6.21
go_sample13	0.976	18.662	467.47200000000004	146.673574	862.0	3715.84	77.14	96.20702	19.993
go_sample14	0.8270000000000001	22.904	673.3050000000001	138.301547	712.0	4118.74	65.47	95.81578999999999	18.005
go_sample15	0.774	34.664	378.06100000000004	168.491602	1363.0	3338.42	59.01	96.60257	17.458
go_sample16	0.792	31.267	406.607	210.29785099999998	2337.0	3107.62	70.15	96.82223	25.172
go_sample17	1.689	10.036	623.621	122.704567	427.0	4403.71	86.4	95.50989	19.184
go_sample18	1.681	13.223	447.195	190.09023399999998	635.0	2403.07	65.44	97.53149	22.814
go_sample19	0.629	43.064	316.036	176.314428	1875.0	4679.01	102.08	95.21891	26.244
go_sample2	10.149000000000001	0.848	906.921	97.26893	180.0	1648.51	35.16	98.31633	11.014
go_sample3	9.591000000000001	1.304	1661.086	143.448316	229.0	2002.41	29.42	97.96817	15.421
go_sample4	8.662	1.976	774.047	144.173996	228.0	926.32	17.76	99.05592	11.844
go_sample5	29.501	0.37	1301.119	78.84424	159.0	1584.34	41.89	98.37377	9.396
go_sample6	2.257	8.999	759.8050000000001	110.512554	164.0	3373.26	90.01	96.53673	16.661
go_sample7	0.754	20.782	241.60500000000002	109.497115	796.0	5282.96	85.46	94.63158	16.783
go_sample8	0.71	24.489	501.17400000000004	114.46888399999999	1019.0	8444.57	117.31	91.43812	22.261
go_sample9	5.414	3.3890000000000002	886.987	133.934404	184.0	600.52	9.68	99.3898	11.698
