ID	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Chlorophyll_Sensor	Citation	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Depth	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	environment_(biome)	environment_(feature)	environment_(material)	environmental_package	Event_Date/Time_End	Event_Date/Time_Start	Event_Label	Experiment	Further_Details	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Last_Update_Date	Latitude_End	Latitude_Start	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Longitude_End	Longitude_Start	Nitrate_Sensor	Organism	Oxygen_Sensor	Platform	project_name	Protocol_Label	ReleaseDate	create_date	version	Salinity_Sensor	Sample_Collection_Device	Sample Name	Sample_name	Sample_Status	Sampling_Campaign	Sampling_Platform	Sampling_Station	size_fraction_lower_threshold	Size_Fraction_Upper_Threshold	SRA Study	temperature	INSDC_center_alias	external_id	Submitter_Id	ENA_first_public	ENA_last_update	Marine_Region	Alias	Description	ENA_checklist	SRA_accession	title	instrument_model (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	Scientific_Name
ERR1701760	WGS	195	37861886168	PRJEB1787	SAMEA2620084	26506748000	GSC	0.17638	tbd	public	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	25	2016-10-24	2018-11-16	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2010-03-18 12:32	2010-03-18 11:33	TARA_20100318T1133Z_039_EVENT_PUMP	ERX1772048	tbd	Genoscope	2016-10-24T17:01:42Z	2015-11-04T11:48:22Z	public	Illumina HiSeq 2000	2014-05-01Z	18.5679	18.5839	APY_ADMIOSF_r1	PAIRED	RANDOM	METAGENOMIC	66.4581	66.4727	-0.611888	marine metagenome	192.95875	ILLUMINA	Tara Oceans expedition (2009-2013)	BACT_NUC-DNA(100L)_W1.6-20	2016-10-25T00:00:00Z	2016-10-28T16:23:00Z	2	36.332317	PUMP (High Volume Peristaltic Pump) with ECOTriplet	SAMEA2620084	TARA_B100000105	This version can be used to provide data discovery services	TARA_20100309Z	SV Tara	TARA_039	1.6	20	ERP001736	26.812225	GSC	SAMEA2620084	TARA_B100000105	2016-10-24	2015-11-04										
ERR315858	WGS	210	7906510735	PRJEB1787	SAMEA2591084	4928935244	GSC	0.0419	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	5	2013-07-19	2018-11-16	marine biome (ENVO:00000447)	surface water (ENVO:00002042) layer	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-11-18T10:46Z	2009-11-18T08:41Z	TARA_20091118T0841Z_023_EVENT_PUMP	ERX289007	tbd	Genoscope	2014-07-11T17:13:11Z	2014-11-06T09:09:24Z	public	Illumina HiSeq 2000	2014-03-01Z	42.1874	42.2038	APYAOSE	PAIRED	RANDOM	METAGENOMIC	17.7189	17.715	99999	marine metagenome	221.457208	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T04:43:00Z	1	38.201396	PUMP (High Volume Peristaltic Pump)	SAMEA2591084	ERS477979	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091111Z	SV Tara	TARA_023	0.22	1.6	ERP001736	17.321979	GSC					(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)	TARA_E500000075	This sample (TARA_E500000075) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T08:41Z at station TARA_023 (latitudeN=42.2038\, longitudeE=17.715) from a surface water (ENVO:00002042) layer at a dept...	ERC000030	ERS477979	TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075				
ERR315859	WGS	212	7891005542	PRJEB1787	SAMEA2591098	4871159109	GSC	0.0599	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	55	2013-07-19	2018-11-16	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-11-18T15:46Z	2009-11-18T13:50Z	TARA_20091118T1240Z_023_EVENT_PUMP	ERX289006	tbd	Genoscope	2014-07-18T17:01:27Z	2014-11-06T09:09:25Z	public	Illumina HiSeq 2000	2014-05-01Z	42.1659	42.1735	APYBOSE	PAIRED	RANDOM	METAGENOMIC	17.7285	17.7252	99999	marine metagenome	224.786708	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T04:44:00Z	1	38.472729	PUMP (High Volume Peristaltic Pump) with ECOTriplet	SAMEA2591098	ERS477998	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091111Z	SV Tara	TARA_023	0.22	1.6	ERP001736	15.194062	GSC					(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)	TARA_E500000081	This sample (TARA_E500000081) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T13:50Z at station TARA_023 (latitudeN=42.1735\, longitudeE=17.7252) from a deep chlorophyll maximum layer (ENVO:xxxxxxx...	ERC000030	ERS477998	TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081				
ERR315862	WGS	198	31403376810	PRJEB1787	SAMEA2591108	19639964611	GSC	0.01585	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	5	2013-07-19	2018-11-16	marine biome (ENVO:00000447)	surface water (ENVO:00002042) layer	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-12-15T13:30Z	2009-12-15T10:41Z	TARA_20091215T1041Z_030_EVENT_PUMP	ERX289010	tbd	Genoscope	2014-07-11T17:13:11Z	2014-11-06T09:09:25Z	public	Illumina HiSeq 2000	2014-05-01Z	33.9203	33.9179	APY_COSF_r1	PAIRED	RANDOM	METAGENOMIC	32.8411	32.898	-0.447961	marine metagenome	207.738375	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T19:24:00Z	1	39.425208	PUMP (High Volume Peristaltic Pump)	SAMEA2591108	ERS478017	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091214Z	SV Tara	TARA_030	0.22	1.6	ERP001736	20.460612	GSC					(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895)	TARA_A100001015	This sample (TARA_A100001015) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T10:41Z at station TARA_030 (latitudeN=33.9179\, longitudeE=32.898) from a surface water (ENVO:00002042) layer at a dept...	ERC000030	ERS478017	TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015				
ERR315863	WGS	196	16030047281	PRJEB1787	SAMEA2591108	10471364458	GSC	0.01585	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	5	2013-07-19	2018-11-16	marine biome (ENVO:00000447)	surface water (ENVO:00002042) layer	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-12-15T13:30Z	2009-12-15T10:41Z	TARA_20091215T1041Z_030_EVENT_PUMP	ERX289011	tbd	Genoscope	2014-07-11T17:13:11Z	2014-11-06T09:09:25Z	public	Illumina HiSeq 2000	2014-05-01Z	33.9203	33.9179	APYCOSE	PAIRED	RANDOM	METAGENOMIC	32.8411	32.898	-0.447961	marine metagenome	207.738375	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T05:00:00Z	1	39.425208	PUMP (High Volume Peristaltic Pump)	SAMEA2591108	ERS478017	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091214Z	SV Tara	TARA_030	0.22	1.6	ERP001736	20.460612	GSC					(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895)	TARA_A100001015	This sample (TARA_A100001015) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T10:41Z at station TARA_030 (latitudeN=33.9179\, longitudeE=32.898) from a surface water (ENVO:00002042) layer at a dept...	ERC000030	ERS478017	TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015				
ERR318618	WGS	202	15892936467	PRJEB1787	SAMEA2591122	9050831172	GSC	0.042495	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	70	2013-07-24	2018-11-16	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-12-15T17:32Z	2009-12-15T15:23:37Z	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	ERX291766	tbd	Genoscope	2014-07-18T17:01:27Z	2014-11-06T09:09:25Z	public	Illumina Genome Analyzer IIx	2014-05-01Z	33.93	33.9235	APYDOSU	PAIRED	RANDOM	METAGENOMIC	32.7322	32.8118	0.254406	marine metagenome	218.132538	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T18:01:00Z	1	39.255952	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	SAMEA2591122	ERS478040	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091214Z	SV Tara	TARA_030	0.22	1.6	ERP001736	18.979535	GSC					(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895)	TARA_A100001011	This sample (TARA_A100001011) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235\, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxx...	ERC000030	ERS478040	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	unspecified			
ERR318619	WGS	150	1169571614	PRJEB1787	SAMEA2591122	777792820	GSC	0.042495	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	70	2013-07-24	2018-11-16	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-12-15T17:32Z	2009-12-15T15:23:37Z	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	ERX291768	tbd	Genoscope	2014-07-18T17:01:27Z	2014-11-06T09:09:25Z	public	Illumina Genome Analyzer IIx	2014-05-01Z	33.93	33.9235	APYDOSW	PAIRED	RANDOM	METAGENOMIC	32.7322	32.8118	0.254406	marine metagenome	218.132538	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T17:53:00Z	1	39.255952	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	SAMEA2591122	ERS478040	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091214Z	SV Tara	TARA_030	0.22	1.6	ERP001736	18.979535	GSC					(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895)	TARA_A100001011	This sample (TARA_A100001011) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235\, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxx...	ERC000030	ERS478040	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	unspecified			
ERR318620	WGS	202	16106127837	PRJEB1787	SAMEA2591122	9272015244	GSC	0.042495	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	70	2013-07-24	2018-11-16	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-12-15T17:32Z	2009-12-15T15:23:37Z	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	ERX291769	tbd	Genoscope	2014-07-18T17:01:27Z	2014-11-06T09:09:25Z	public	Illumina Genome Analyzer IIx	2014-05-01Z	33.93	33.9235	APYDOSU	PAIRED	RANDOM	METAGENOMIC	32.7322	32.8118	0.254406	marine metagenome	218.132538	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T18:14:00Z	1	39.255952	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	SAMEA2591122	ERS478040	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091214Z	SV Tara	TARA_030	0.22	1.6	ERP001736	18.979535	GSC					(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895)	TARA_A100001011	This sample (TARA_A100001011) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235\, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxx...	ERC000030	ERS478040	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	unspecified			
ERR318621	WGS	150	1177769082	PRJEB1787	SAMEA2591122	810811740	GSC	0.042495	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	70	2013-07-24	2018-11-16	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-12-15T17:32Z	2009-12-15T15:23:37Z	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	ERX291767	tbd	Genoscope	2014-07-18T17:01:27Z	2014-11-06T09:09:25Z	public	Illumina Genome Analyzer IIx	2014-05-01Z	33.93	33.9235	APYDOSW	PAIRED	RANDOM	METAGENOMIC	32.7322	32.8118	0.254406	marine metagenome	218.132538	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T17:55:00Z	1	39.255952	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	SAMEA2591122	ERS478040	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091214Z	SV Tara	TARA_030	0.22	1.6	ERP001736	18.979535	GSC					(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895)	TARA_A100001011	This sample (TARA_A100001011) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235\, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxx...	ERC000030	ERS478040	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	unspecified			
ERR315860	WGS	212	7753072838	PRJEB1787	SAMEA2591098	4762806878	GSC	0.0599	tbd	public	run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	55	2013-07-19	2018-11-16	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx)	water	2009-11-18T15:46Z	2009-11-18T13:50Z	TARA_20091118T1240Z_023_EVENT_PUMP	ERX289008	tbd	Genoscope	2014-07-18T17:01:27Z	2014-11-06T09:09:25Z	public	Illumina HiSeq 2000	2014-05-01Z	42.1659	42.1735	APYBOSE	PAIRED	RANDOM	METAGENOMIC	17.7285	17.7252	99999	marine metagenome	224.786708	ILLUMINA	Tara Oceans	BACT_NUC-DNA(100L)_W0.22-1.6	2013-12-25T00:00:00Z	2013-08-03T04:44:00Z	1	38.472729	PUMP (High Volume Peristaltic Pump) with ECOTriplet	SAMEA2591098	ERS477998	This version is NOT FINAL but can be used to provide data discovery services	TARA_20091111Z	SV Tara	TARA_023	0.22	1.6	ERP001736	15.194062	GSC					(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)	TARA_E500000081	This sample (TARA_E500000081) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T13:50Z at station TARA_023 (latitudeN=42.1735\, longitudeE=17.7252) from a deep chlorophyll maximum layer (ENVO:xxxxxxx...	ERC000030	ERS477998	TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081				
